Series Name,Series Code,Country Name,Country Code,2017 [YR2017]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,36296400
"Population, total",SP.POP.TOTL,Albania,ALB,2873457
"Population, total",SP.POP.TOTL,Algeria,DZA,41389198
"Population, total",SP.POP.TOTL,American Samoa,ASM,55620
"Population, total",SP.POP.TOTL,Andorra,AND,77001
"Population, total",SP.POP.TOTL,Angola,AGO,29816748
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,95426
"Population, total",SP.POP.TOTL,Arab World,ARB,411898967
"Population, total",SP.POP.TOTL,Argentina,ARG,44044811
"Population, total",SP.POP.TOTL,Armenia,ARM,2944809
"Population, total",SP.POP.TOTL,Aruba,ABW,105366
"Population, total",SP.POP.TOTL,Australia,AUS,24601860
"Population, total",SP.POP.TOTL,Austria,AUT,8797566
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9854033
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,381761
"Population, total",SP.POP.TOTL,Bahrain,BHR,1494074
"Population, total",SP.POP.TOTL,Bangladesh,BGD,159670593
"Population, total",SP.POP.TOTL,Barbados,BRB,286233
"Population, total",SP.POP.TOTL,Belarus,BLR,9498264
"Population, total",SP.POP.TOTL,Belgium,BEL,11375158
"Population, total",SP.POP.TOTL,Belize,BLZ,375769
"Population, total",SP.POP.TOTL,Benin,BEN,11175204
"Population, total",SP.POP.TOTL,Bermuda,BMU,63873
"Population, total",SP.POP.TOTL,Bhutan,BTN,745568
"Population, total",SP.POP.TOTL,Bolivia,BOL,11192854
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3351527
"Population, total",SP.POP.TOTL,Botswana,BWA,2205128
"Population, total",SP.POP.TOTL,Brazil,BRA,207833831
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,29577
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,424473
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7075947
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,19193284
"Population, total",SP.POP.TOTL,Burundi,BDI,10827024
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,537497
"Population, total",SP.POP.TOTL,Cambodia,KHM,16009414
"Population, total",SP.POP.TOTL,Cameroon,CMR,24566045
"Population, total",SP.POP.TOTL,Canada,CAN,36543321
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,7314990
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,63382
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4596028
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,102738653
"Population, total",SP.POP.TOTL,Chad,TCD,15016773
"Population, total",SP.POP.TOTL,Channel Islands,CHI,168665
"Population, total",SP.POP.TOTL,Chile,CHL,18470439
"Population, total",SP.POP.TOTL,China,CHN,1386395000
"Population, total",SP.POP.TOTL,Colombia,COL,48901066
"Population, total",SP.POP.TOTL,Comoros,COM,813892
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,81398764
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5110702
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4949954
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,24437469
"Population, total",SP.POP.TOTL,Croatia,HRV,4124531
"Population, total",SP.POP.TOTL,Cuba,CUB,11339259
"Population, total",SP.POP.TOTL,Curacao,CUW,160175
"Population, total",SP.POP.TOTL,Cyprus,CYP,1179680
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10594438
"Population, total",SP.POP.TOTL,Denmark,DNK,5764980
"Population, total",SP.POP.TOTL,Djibouti,DJI,944097
"Population, total",SP.POP.TOTL,Dominica,DMA,71458
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10513131
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,3206361023
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,2314097713
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,2068142784
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,2042687863
"Population, total",SP.POP.TOTL,Ecuador,ECU,16785361
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,96442593
"Population, total",SP.POP.TOTL,El Salvador,SLV,6388122
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1262001
"Population, total",SP.POP.TOTL,Eritrea,ERI,..
"Population, total",SP.POP.TOTL,Estonia,EST,1317384
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1124753
"Population, total",SP.POP.TOTL,Ethiopia,ETH,106400024
"Population, total",SP.POP.TOTL,Euro area,EMU,341163597
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,914585461
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,395289709
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,456976356
"Population, total",SP.POP.TOTL,European Union,EUU,446131273
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48331
"Population, total",SP.POP.TOTL,Fiji,FJI,877459
"Population, total",SP.POP.TOTL,Finland,FIN,5508214
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,763578047
"Population, total",SP.POP.TOTL,France,FRA,66864379
"Population, total",SP.POP.TOTL,French Polynesia,PYF,276103
"Population, total",SP.POP.TOTL,Gabon,GAB,2064823
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2213894
"Population, total",SP.POP.TOTL,Georgia,GEO,3728004
"Population, total",SP.POP.TOTL,Germany,DEU,82657002
"Population, total",SP.POP.TOTL,Ghana,GHA,29121471
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33728
"Population, total",SP.POP.TOTL,Greece,GRC,10754679
"Population, total",SP.POP.TOTL,Greenland,GRL,56172
"Population, total",SP.POP.TOTL,Grenada,GRD,110874
"Population, total",SP.POP.TOTL,Guam,GUM,164281
"Population, total",SP.POP.TOTL,Guatemala,GTM,16087418
"Population, total",SP.POP.TOTL,Guinea,GIN,12067539
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1828146
"Population, total",SP.POP.TOTL,Guyana,GUY,775221
"Population, total",SP.POP.TOTL,Haiti,HTI,10982366
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,759106221
"Population, total",SP.POP.TOTL,High income,HIC,1225031047
"Population, total",SP.POP.TOTL,Honduras,HND,9429013
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7391700
"Population, total",SP.POP.TOTL,Hungary,HUN,9787966
"Population, total",SP.POP.TOTL,Iceland,ISL,343400
"Population, total",SP.POP.TOTL,India,IND,1338658835
"Population, total",SP.POP.TOTL,Indonesia,IDN,264645886
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,80673951
"Population, total",SP.POP.TOTL,Iraq,IRQ,37552781
"Population, total",SP.POP.TOTL,Ireland,IRL,4807388
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83598
"Population, total",SP.POP.TOTL,Israel,ISR,8713300
"Population, total",SP.POP.TOTL,Italy,ITA,60536709
"Population, total",SP.POP.TOTL,Jamaica,JAM,2920853
"Population, total",SP.POP.TOTL,Japan,JPN,126785797
"Population, total",SP.POP.TOTL,Jordan,JOR,9779173
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18037776
"Population, total",SP.POP.TOTL,Kenya,KEN,50221473
"Population, total",SP.POP.TOTL,Kiribati,KIR,114158
"Population, total",SP.POP.TOTL,"Korea, Dem. People’s Rep.",PRK,25429985
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51361911
"Population, total",SP.POP.TOTL,Kosovo,XKX,1791003
"Population, total",SP.POP.TOTL,Kuwait,KWT,4056099
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6198200
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6953035
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2275525382
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,634545282
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,602426586
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,618632726
"Population, total",SP.POP.TOTL,Latvia,LVA,1942248
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,986365080
"Population, total",SP.POP.TOTL,Lebanon,LBN,6811873
"Population, total",SP.POP.TOTL,Lesotho,LSO,2091412
"Population, total",SP.POP.TOTL,Liberia,LBR,4702228
"Population, total",SP.POP.TOTL,Libya,LBY,6580724
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37800
"Population, total",SP.POP.TOTL,Lithuania,LTU,2828403
"Population, total",SP.POP.TOTL,Low & middle income,LMY,6284034658
"Population, total",SP.POP.TOTL,Low income,LIC,634796692
"Population, total",SP.POP.TOTL,Lower middle income,LMC,2831466703
"Population, total",SP.POP.TOTL,Luxembourg,LUX,596336
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,622585
"Population, total",SP.POP.TOTL,Madagascar,MDG,25570540
"Population, total",SP.POP.TOTL,Malawi,MWI,17670260
"Population, total",SP.POP.TOTL,Malaysia,MYS,31105028
"Population, total",SP.POP.TOTL,Maldives,MDV,496402
"Population, total",SP.POP.TOTL,Mali,MLI,18512394
"Population, total",SP.POP.TOTL,Malta,MLT,467999
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,58058
"Population, total",SP.POP.TOTL,Mauritania,MRT,4282574
"Population, total",SP.POP.TOTL,Mauritius,MUS,1264613
"Population, total",SP.POP.TOTL,Mexico,MEX,124777324
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,111459
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,441255236
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,376546755
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,372091950
"Population, total",SP.POP.TOTL,Middle income,MIC,5649237966
"Population, total",SP.POP.TOTL,Moldova,MDA,2755158
"Population, total",SP.POP.TOTL,Monaco,MCO,38392
"Population, total",SP.POP.TOTL,Mongolia,MNG,3113779
"Population, total",SP.POP.TOTL,Montenegro,MNE,622373
"Population, total",SP.POP.TOTL,Morocco,MAR,35581294
"Population, total",SP.POP.TOTL,Mozambique,MOZ,28649007
"Population, total",SP.POP.TOTL,Myanmar,MMR,53382581
"Population, total",SP.POP.TOTL,Namibia,NAM,2402603
"Population, total",SP.POP.TOTL,Nauru,NRU,12876
"Population, total",SP.POP.TOTL,Nepal,NPL,27627124
"Population, total",SP.POP.TOTL,Netherlands,NLD,17131296
"Population, total",SP.POP.TOTL,New Caledonia,NCL,280350
"Population, total",SP.POP.TOTL,New Zealand,NZL,4793900
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6384855
"Population, total",SP.POP.TOTL,Niger,NER,21602472
"Population, total",SP.POP.TOTL,Nigeria,NGA,190873311
"Population, total",SP.POP.TOTL,North America,NAC,361592733
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2081996
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,56562
"Population, total",SP.POP.TOTL,Norway,NOR,5276968
"Population, total",SP.POP.TOTL,Not classified,INX,..
"Population, total",SP.POP.TOTL,OECD members,OED,1344863242
"Population, total",SP.POP.TOTL,Oman,OMN,4665935
"Population, total",SP.POP.TOTL,Other small states,OSS,30148800
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2422086
"Population, total",SP.POP.TOTL,Pakistan,PAK,207896686
"Population, total",SP.POP.TOTL,Palau,PLW,17808
"Population, total",SP.POP.TOTL,Panama,PAN,4106771
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8438029
"Population, total",SP.POP.TOTL,Paraguay,PRY,6867062
"Population, total",SP.POP.TOTL,Peru,PER,31444297
"Population, total",SP.POP.TOTL,Philippines,PHL,105173264
"Population, total",SP.POP.TOTL,Poland,POL,37974826
"Population, total",SP.POP.TOTL,Portugal,PRT,10300300
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1105771602
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,894512725
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3325286
"Population, total",SP.POP.TOTL,Qatar,QAT,2724724
"Population, total",SP.POP.TOTL,Romania,ROU,19587290
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144496740
"Population, total",SP.POP.TOTL,Rwanda,RWA,11980937
"Population, total",SP.POP.TOTL,Samoa,WSM,195352
"Population, total",SP.POP.TOTL,San Marino,SMR,33671
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,207089
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,33099147
"Population, total",SP.POP.TOTL,Senegal,SEN,15419381
"Population, total",SP.POP.TOTL,Serbia,SRB,7020858
"Population, total",SP.POP.TOTL,Seychelles,SYC,95843
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7488431
"Population, total",SP.POP.TOTL,Singapore,SGP,5612253
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,40574
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5439232
"Population, total",SP.POP.TOTL,Slovenia,SVN,2066388
"Population, total",SP.POP.TOTL,Small states,SST,39885876
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,636038
"Population, total",SP.POP.TOTL,Somalia,SOM,14589119
"Population, total",SP.POP.TOTL,South Africa,ZAF,57000451
"Population, total",SP.POP.TOTL,South Asia,SAS,1792835608
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1792835608
"Population, total",SP.POP.TOTL,South Sudan,SSD,10910759
"Population, total",SP.POP.TOTL,Spain,ESP,46593236
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21444000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,52045
"Population, total",SP.POP.TOTL,St. Lucia,LCA,180955
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,36560
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,109827
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,1050153672
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,1048793216
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,1050153672
"Population, total",SP.POP.TOTL,Sudan,SDN,40813396
"Population, total",SP.POP.TOTL,Suriname,SUR,570496
"Population, total",SP.POP.TOTL,Sweden,SWE,10057698
"Population, total",SP.POP.TOTL,Switzerland,CHE,8451840
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,17068002
"Population, total",SP.POP.TOTL,Tajikistan,TJK,8880268
"Population, total",SP.POP.TOTL,Tanzania,TZA,54663906
"Population, total",SP.POP.TOTL,Thailand,THA,69209858
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1243261
"Population, total",SP.POP.TOTL,Togo,TGO,7698475
"Population, total",SP.POP.TOTL,Tonga,TON,101998
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1384072
"Population, total",SP.POP.TOTL,Tunisia,TUN,11433443
"Population, total",SP.POP.TOTL,Turkey,TUR,81101892
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5757669
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,37115
"Population, total",SP.POP.TOTL,Tuvalu,TUV,11370
"Population, total",SP.POP.TOTL,Uganda,UGA,41162465
"Population, total",SP.POP.TOTL,Ukraine,UKR,44831135
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9487203
"Population, total",SP.POP.TOTL,United Kingdom,GBR,66058859
"Population, total",SP.POP.TOTL,United States,USA,324985539
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2817771263
"Population, total",SP.POP.TOTL,Uruguay,URY,3436646
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,32388600
"Population, total",SP.POP.TOTL,Vanuatu,VUT,285510
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,29390409
"Population, total",SP.POP.TOTL,Vietnam,VNM,94596642
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,107268
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4454805
"Population, total",SP.POP.TOTL,World,WLD,7509065705
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,27834821
"Population, total",SP.POP.TOTL,Zambia,ZMB,16853688
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,14236745
,,,,
,,,,
,,,,
Data from database: Health Nutrition and Population Statistics,,,,
Last Updated: 10/07/2020,,,,
